# Omega_Matter_0 = 0.302   | Omega_Lambda_0 = 0.698   | Omega_K_0 = 0.0   | h = 1.0   |
# RA  DEC  CZ_obs  Mr  HaloID  logMHalo  NGal_H  FLAG  CZ_real  DIST_C  Vp_tot  Vp_tang  Morph  logMstar  r_mag  u_mag  FSMGR  Gal_Match_flag  u_r  mhi_mass  GroupID  Group_NGals  Group_Rproj  Group_CZdisp  Group_logMHalo  Group_Gal_Type
  222.361029     13.152031     7462.85561     -21.264         198732     15.141         469       0    9255.587090    1.09872560e+00    2584.22137    1861.26676        LT      9.420000    -21.293629    -19.201950      0.200007         ECO      2.091679    2.041738e+09               0           1      0.000000      0.000000     12.225           1
  222.808069     12.397480     7396.39554     -22.864         198732     15.141         469       0    9313.492255    1.30071545e+00    2190.99466    1060.75341        LT     11.350000    -22.919615    -20.737782      0.089128         ECO      2.181833    8.912519e+09               1           1      0.000000      0.000000     13.172           1
  222.219307     12.979642     6653.37177     -19.477         198732     15.141         469       0    9293.469960    8.02354897e-01    2987.85999    1398.99566        ET      9.370000    -19.519352    -17.298561      0.133072         ECO      2.220791    3.548133e+08               2          18      0.240688    277.110000     13.621           0
  222.153140     13.081357     5945.69782     -20.666         198732     15.141         469       0    9292.222436    1.01834540e+00    3865.34363    1934.33565        ET     10.150000    -20.644579    -19.305462      0.372099         ECO      1.339117    8.511383e+09               3           1      0.000000      0.000000     11.989           1
  222.540987     12.821932     6795.38705     -21.867         198732     15.141         469       0    9288.730044    4.04541040e-01    3438.66068    2368.04307        LT     10.850000    -21.886641    -20.071598      0.368589         ECO      1.815042    2.137960e+09               4           5      0.154728    235.290000     13.138           1
  222.168627     13.400446     7312.93626     -22.235         198732     15.141         469       0    9272.808670    1.54876990e+00    2314.39204    1230.97954        ET      9.990000    -22.296251    -19.967144      0.066244         ECO      2.329107    6.165959e+09               2          18      0.240688    277.110000     13.621           1
  222.036562     13.277899     6663.01021     -19.191         198732     15.141         469       0    9312.447725    1.43506964e+00    3192.74640    1781.60334        LT      9.620000    -19.219412    -17.922668      0.371422         ECO      1.296743    4.677355e+09               2          18      0.240688    277.110000     13.621           0
  222.553788     13.014664     7185.04059     -20.047         198732     15.141         469       0    9301.410962    3.36596256e-01    2340.98149    1000.58524        LT      9.350000    -20.029522    -19.014877      1.440171         ECO      1.014645    1.548818e+10               5           1      0.000000      0.000000     11.752           1
  222.065733     12.954466     7392.05431     -21.391         198732     15.141         469       0    9305.507487    1.08072194e+00    2879.83585    2152.24336        LT     10.490000    -21.410164    -19.711193      0.073950         ECO      1.698971    1.698245e+10               6           1      0.000000      0.000000     12.281           1
  222.672105     13.141369     6756.72828     -19.427         198732     15.141         469       0    9312.823396    6.44832972e-01    3039.55693    1644.77479        ET     10.050000    -19.476324    -17.363491      0.051566         ECO      2.112833    3.548133e+08               7           1      0.000000      0.000000     11.533           1
  221.966279     13.392267     6974.49836     -20.182         198732     15.141         469       0    9342.768068    1.77285161e+00    2774.58670    1445.55525        LT     10.540000    -20.189020    -18.557217      0.285496         ECO      1.631804    5.370322e+09               2          18      0.240688    277.110000     13.621           0
  222.148313     13.226517     6750.99060     -20.952         198732     15.141         469       0    9296.133328    1.19356132e+00    3161.00887    1874.62679        ET      9.180000    -21.012726    -18.695099      0.096927         ECO      2.317627    1.698244e+09               2          18      0.240688    277.110000     13.621           0
  222.592614     12.896357     6797.40030     -18.907         198732     15.141         469       0    9301.295328    2.26303165e-01    3003.64997    1659.04275        LT     10.090000    -18.886946    -17.565979      0.467643         ECO      1.320967    2.238723e+09               4           5      0.154728    235.290000     13.138           0
  221.943057     13.323938     7125.34498     -19.103         198732     15.141         469       0    9312.028957    1.66691000e+00    2505.46842    1223.02297        LT      9.310000    -19.051552    -17.934677      1.143124         ECO      1.116875    5.623421e+09               2          18      0.240688    277.110000     13.621           0
  222.138375     13.221765     6552.01042     -19.746         198732     15.141         469       0    9291.410505    1.21921181e+00    3206.15904    1665.87604        ET      9.510000    -19.792723    -17.447266      0.114703         ECO      2.345457    5.370320e+08               2          18      0.240688    277.110000     13.621           0
  222.054005     13.435122     7270.75740     -20.666         198732     15.141         469       0    9275.446274    1.74437983e+00    2412.71925    1342.54858        ET     10.590000    -20.644579    -19.305462      0.372099         ECO      1.339117    8.511383e+09               2          18      0.240688    277.110000     13.621           0
