x,y
19.5706422032,93.1410956122
19.073512599,85.9131399585
16.3430833999,98.779104932
16.9635323692,53.6609382758
15.6217437613,85.3526745166
14.4245738821,99.6432741257
14.1897149826,88.8060690267
17.2327192585,64.3941861768
18.5688787233,78.1913903263
16.1786605184,54.1475963252
16.7838481084,92.3096329942
10.0462506648,60.2590768636
16.1635802717,82.5158079279
17.9292378382,67.5072044252
17.5635344345,90.3441359201
14.8211438717,99.5547900422
14.2222160139,91.7607391118
17.4554409252,82.8976848991
17.2839473868,87.5325127755
12.8059366046,87.8224840794
13.0133320725,87.5373565667
11.5958143359,74.9835788521
14.5528173207,54.9244774917
13.001028261,51.0165905528
16.4816373192,95.5300719816
16.041833127,86.8283826528
18.3316480921,86.6202483221
12.1338149284,68.9524400464
15.8410552787,84.5411462548
14.8437512408,82.0281024604
15.6871372751,88.967871819
16.1585866684,90.6590598458
17.9864050463,84.8965483751
17.8520506808,66.9078632552
10.1970697418,73.9420678498
10.6916210784,76.6536730179
15.1548819312,58.5594341703
16.4349443001,58.1825310413
10.2940683701,83.2145747095
15.3653103388,87.339844651
15.4142721413,82.4954423688
18.4261536739,79.3194255515
18.2125564459,71.1324222904
12.1681777572,68.9270208895
14.860409391,97.7133206774
13.2854970402,71.9317785412
17.4243709855,73.6367344481
19.5606831266,75.0573186579
11.1555121674,63.8737740394
10.4075478505,96.1840998638
17.0162327848,80.0611976562
19.7881097759,68.3355021069
12.1388713314,63.1144788129
10.6796956855,94.2307557144
15.6263423419,65.5177305515
12.1450088628,69.4314426956
10.03460914,72.5014253885
11.3473012762,73.4276157985
19.5342915471,52.9995269319
17.2877738359,62.4506974057
15.2026471391,63.2785543317
14.4633878119,56.2262356925
13.6072256353,74.2200739441
19.193214066,60.3935456234
15.8079490961,70.0523184908
18.6238362949,86.8157455186
12.1913171278,73.3650183315
17.5018152366,73.3730251274
13.2144371,56.8066595526
19.5903486199,69.6863894526
12.1924879873,71.2194883217
18.7693290036,91.6000303459
14.7101320713,55.5923835265
19.8906904954,52.4253637914
11.4643678566,75.601448155
14.4024453153,70.9634537321
10.1561323116,51.7421033064
15.0284799969,93.8974747417
16.3750047393,81.9576845272
18.022297375,86.2331144482
10.4217879877,57.7883612947
15.3544113793,79.3425158841
12.6928075719,69.8758681606
19.4836928546,85.2064832566
15.1853656103,53.9975455495
12.5494916396,62.3901545281
11.7525125011,96.4755119238
13.2464016285,99.1040356582
12.6892227238,92.2689154862
10.749498984,68.1883723198
17.9751245799,72.4006680372
14.3525622316,93.135202518
11.0621601759,78.065260421
18.645567404,99.5908163957
16.8962241799,51.6248859012
18.9345448615,92.795918606
17.9271475827,82.1637466001
19.5594361813,58.6305474894
10.1955677163,50.8858699599
