# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 22 22:24:17 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_rah:         RA [hrs]
#
rowid	pl_hostname	pl_letter	pl_discmethod	pl_pnum	ra_str	ra	dec_str	dec	st_rah
1	11 Com	b	Radial Velocity	1	12h20m43.03s	185.179276	+17d47m34.3s	17.792868	12.34528503
2	11 UMi	b	Radial Velocity	1	15h17m05.89s	229.274536	+71d49m26.0s	71.823898	15.28496908
3	14 And	b	Radial Velocity	1	23h31m17.42s	352.822571	+39d14m10.3s	39.236198	23.52150472
4	14 Her	b	Radial Velocity	1	16h10m24.31s	242.601303	+43d49m03.5s	43.817646	16.17342021
5	16 Cyg B	b	Radial Velocity	1	19h41m51.97s	295.466553	+50d31m03.1s	50.517525	19.69777018
6	18 Del	b	Radial Velocity	1	20h58m25.94s	314.608063	+10d50m21.4s	10.839286	20.97387085
7	1RXS J160929.1-210524	b	Imaging	1	16h09m30.30s	242.376268	-21d04m58.9s	-21.083036	16.15841787
8	24 Sex	b	Radial Velocity	2	10h23m28.37s	155.868210	-00d54m08.1s	-0.902244	10.39121399
9	24 Sex	c	Radial Velocity	2	10h23m28.37s	155.868210	-00d54m08.1s	-0.902244	10.39121399
10	2MASS J01225093-2439505	b	Imaging	1	01h22m50.94s	20.712243	-24d39m50.6s	-24.664049	1.38081620
11	2MASS J02192210-3925225	b	Imaging	1	02h19m22.11s	34.842106	-39d25m22.5s	-39.422928	2.32280707
12	2MASS J04414489+2301513	b	Imaging	1	04h41m44.90s	70.437073	+23d01m51.4s	23.030941	4.69580487
13	2MASS J12073346-3932539	b	Imaging	1	12h07m33.47s	181.889447	-39d32m54.0s	-39.548332	12.12596313
14	2MASS J19383260+4603591	b	Eclipse Timing Variations	1	19h38m32.61s	294.635865	+46d03m59.1s	46.066418	19.64239100
15	2MASS J21402931+1625183 A	b	Imaging	1	21h40m29.32s	325.122159	+16d25m18.3s	16.421759	21.67481060
16	30 Ari B	b	Radial Velocity	1	02h36m57.74s	39.240585	+24d38m53.0s	24.648064	2.61603902
17	4 UMa	b	Radial Velocity	1	08h40m12.82s	130.053406	+64d19m40.6s	64.327934	8.67022705
18	42 Dra	b	Radial Velocity	1	18h25m59.14s	276.496399	+65d33m48.5s	65.563484	18.43309326
19	47 UMa	b	Radial Velocity	3	10h59m27.97s	164.866562	+40d25m48.9s	40.430256	10.99110413
20	47 UMa	c	Radial Velocity	3	10h59m27.97s	164.866562	+40d25m48.9s	40.430256	10.99110413
21	47 UMa	d	Radial Velocity	3	10h59m27.97s	164.866562	+40d25m48.9s	40.430256	10.99110413
22	51 Eri	b	Imaging	1	04h37m36.13s	69.400551	-02d28m24.8s	-2.473548	4.62670339
23	51 Peg	b	Radial Velocity	1	22h57m27.98s	344.366577	+20d46m07.8s	20.768833	22.95777181
24	55 Cnc	b	Radial Velocity	5	08h52m35.81s	133.149216	+28d19m50.9s	28.330818	8.87661438
25	55 Cnc	c	Radial Velocity	5	08h52m35.81s	133.149216	+28d19m50.9s	28.330818	8.87661438
26	55 Cnc	d	Radial Velocity	5	08h52m35.81s	133.149216	+28d19m50.9s	28.330818	8.87661438
27	55 Cnc	e	Radial Velocity	5	08h52m35.81s	133.149216	+28d19m50.9s	28.330818	8.87661438
28	55 Cnc	f	Radial Velocity	5	08h52m35.81s	133.149216	+28d19m50.9s	28.330818	8.87661438
29	6 Lyn	b	Radial Velocity	1	06h30m47.11s	97.696281	+58d09m45.5s	58.162632	6.51308543
30	61 Vir	b	Radial Velocity	3	13h18m24.32s	199.601318	-18d18m40.3s	-18.311195	13.30675456
31	61 Vir	c	Radial Velocity	3	13h18m24.32s	199.601318	-18d18m40.3s	-18.311195	13.30675456
32	61 Vir	d	Radial Velocity	3	13h18m24.32s	199.601318	-18d18m40.3s	-18.311195	13.30675456
33	7 CMa	b	Radial Velocity	1	06h36m41.04s	99.170990	-19d15m21.2s	-19.255878	6.61139933
34	70 Vir	b	Radial Velocity	1	13h28m25.81s	202.107544	+13d46m43.6s	13.778788	13.47383626
35	75 Cet	b	Radial Velocity	1	02h32m09.42s	38.039253	-01d02m05.6s	-1.034896	2.53595022
36	8 UMi	b	Radial Velocity	1	14h56m48.35s	224.201477	+74d54m03.3s	74.900925	14.94676514
37	81 Cet	b	Radial Velocity	1	02h37m41.80s	39.424168	-03d23m46.2s	-3.396175	2.62827784
38	91 Aqr	b	Radial Velocity	1	23h15m53.50s	348.972900	-09d05m15.9s	-9.087737	23.26486003
39	AB Pic	b	Imaging	1	06h19m12.91s	94.803802	-58d03m15.5s	-58.054310	6.32025350
40	BD+14 4559	b	Radial Velocity	1	21h13m35.99s	318.399963	+14d41m21.8s	14.689387	21.22666423
41	BD+15 2375	b	Radial Velocity	1	11h45m55.72s	176.482174	+14d36m59.0s	14.616381	11.76547827
42	BD+15 2940	b	Radial Velocity	1	16h00m22.94s	240.095566	+15d32m48.9s	15.546930	16.00637105
43	BD+20 1790	b	Radial Velocity	1	07h23m43.59s	110.931612	+20d24m58.8s	20.416334	7.39544080
44	BD+20 2457	b	Radial Velocity	2	10h16m44.86s	154.186910	+19d53m29.1s	19.891409	10.27912733
45	BD+20 2457	c	Radial Velocity	2	10h16m44.86s	154.186910	+19d53m29.1s	19.891409	10.27912733
46	BD+20 274	b	Radial Velocity	1	01h43m40.88s	25.920324	+21d00m19.1s	21.005314	1.72802160
47	BD+48 738	b	Radial Velocity	1	02h42m50.45s	40.710224	+49d35m13.1s	49.586960	2.71401493
48	BD+49 828	b	Radial Velocity	1	03h02m33.73s	45.640529	+49d43m48.0s	49.730011	3.04270193
49	BD-06 1339	b	Radial Velocity	2	05h53m00.28s	88.251183	-05d59m41.4s	-5.994844	5.88341217
50	BD-06 1339	c	Radial Velocity	2	05h53m00.28s	88.251183	-05d59m41.4s	-5.994844	5.88341217
51	BD-08 2823	b	Radial Velocity	2	10h00m47.72s	150.198837	-09d31m00.0s	-9.516680	10.01325582
52	BD-08 2823	c	Radial Velocity	2	10h00m47.72s	150.198837	-09d31m00.0s	-9.516680	10.01325582
53	BD-10 3166	b	Radial Velocity	1	10h58m28.80s	164.620003	-10d46m13.4s	-10.770376	10.97466687
54	BD-11 4672	b	Radial Velocity	1	18h33m28.84s	278.370148	-11d38m09.7s	-11.636039	18.55800985
55	BD-13 2130	b	Radial Velocity	1	07h37m09.23s	114.288458	-13d54m23.9s	-13.906639	7.61923053
